date,order_id,product_id,product_name,category,region,channel,units,list_price,discount_pct,net_unit_price,revenue,gross_margin
2026-01-01,O0000001,P001,Electronics Product 1,Electronics,North,Retail,2,2185.43,0.0652,2042.84,4085.68,1590.82
2026-01-01,O0000002,P001,Electronics Product 1,Electronics,North,Online,1,2185.43,0.0652,2042.84,2042.84,795.41
2026-01-01,O0000003,P001,Electronics Product 1,Electronics,North,Retail,1,2185.43,0.0652,2042.84,2042.84,795.41
2026-01-01,O0000004,P001,Electronics Product 1,Electronics,North,Retail,2,2185.43,0.0652,2042.84,4085.68,1590.82
2026-01-01,O0000005,P001,Electronics Product 1,Electronics,North,Marketplace,3,2185.43,0.0652,2042.84,6128.51,2386.23
2026-01-01,O0000006,P001,Electronics Product 1,Electronics,North,Marketplace,1,2185.43,0.0652,2042.84,2042.84,795.41
2026-01-01,O0000007,P001,Electronics Product 1,Electronics,North,Retail,3,2185.43,0.0652,2042.84,6128.51,2386.23
2026-01-01,O0000008,P001,Electronics Product 1,Electronics,North,Marketplace,1,2185.43,0.0652,2042.84,2042.84,795.41
2026-01-01,O0000009,P001,Electronics Product 1,Electronics,North,Online,1,2185.43,0.0652,2042.84,2042.84,795.41
2026-01-01,O0000010,P001,Electronics Product 1,Electronics,North,Marketplace,3,2185.43,0.0652,2042.84,6128.51,2386.23
2026-01-01,O0000011,P002,Electronics Product 2,Electronics,North,Online,1,3793.97,0.0098,3756.79,3756.79,1208.85
2026-01-01,O0000012,P002,Electronics Product 2,Electronics,North,Retail,2,3793.97,0.0098,3756.79,7513.59,2417.7
2026-01-01,O0000013,P002,Electronics Product 2,Electronics,North,Online,2,3793.97,0.0098,3756.79,7513.59,2417.7
2026-01-01,O0000014,P002,Electronics Product 2,Electronics,North,Retail,2,3793.97,0.0098,3756.79,7513.59,2417.7
2026-01-01,O0000015,P002,Electronics Product 2,Electronics,North,Online,1,3793.97,0.0098,3756.79,3756.79,1208.85
2026-01-01,O0000016,P002,Electronics Product 2,Electronics,North,Marketplace,2,3793.97,0.0098,3756.79,7513.59,2417.7
2026-01-01,O0000017,P002,Electronics Product 2,Electronics,North,Retail,2,3793.97,0.0098,3756.79,7513.59,2417.7
2026-01-01,O0000018,P003,Electronics Product 3,Electronics,North,Online,4,1202.08,0.0496,1142.5,4569.99,957.28
2026-01-01,O0000019,P003,Electronics Product 3,Electronics,North,Marketplace,1,1202.08,0.0496,1142.5,1142.5,239.32
2026-01-01,O0000020,P003,Electronics Product 3,Electronics,North,Retail,4,1202.08,0.0496,1142.5,4569.99,957.28
2026-01-01,O0000021,P003,Electronics Product 3,Electronics,North,Marketplace,1,1202.08,0.0496,1142.5,1142.5,239.32
2026-01-01,O0000022,P003,Electronics Product 3,Electronics,North,Online,3,1202.08,0.0496,1142.5,3427.49,717.96
2026-01-01,O0000023,P003,Electronics Product 3,Electronics,North,Retail,1,1202.08,0.0496,1142.5,1142.5,239.32
2026-01-01,O0000024,P003,Electronics Product 3,Electronics,North,Online,2,1202.08,0.0496,1142.5,2284.99,478.64
2026-01-01,O0000025,P003,Electronics Product 3,Electronics,North,Online,2,1202.08,0.0496,1142.5,2284.99,478.64
2026-01-01,O0000026,P003,Electronics Product 3,Electronics,North,Marketplace,2,1202.08,0.0496,1142.5,2284.99,478.64
2026-01-01,O0000027,P003,Electronics Product 3,Electronics,North,Online,1,1202.08,0.0496,1142.5,1142.5,239.32
2026-01-01,O0000028,P004,Electronics Product 4,Electronics,North,Retail,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000029,P004,Electronics Product 4,Electronics,North,Online,2,761.38,0.0614,714.67,1429.33,530.76
2026-01-01,O0000030,P004,Electronics Product 4,Electronics,North,Online,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000031,P004,Electronics Product 4,Electronics,North,Retail,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000032,P004,Electronics Product 4,Electronics,North,Online,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000033,P004,Electronics Product 4,Electronics,North,Online,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000034,P004,Electronics Product 4,Electronics,North,Retail,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000035,P004,Electronics Product 4,Electronics,North,Marketplace,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000036,P004,Electronics Product 4,Electronics,North,Retail,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000037,P004,Electronics Product 4,Electronics,North,Retail,4,761.38,0.0614,714.67,2858.66,1061.52
2026-01-01,O0000038,P004,Electronics Product 4,Electronics,North,Online,1,761.38,0.0614,714.67,714.67,265.38
2026-01-01,O0000039,P005,Electronics Product 5,Electronics,North,Online,2,3205.02,0.0402,3076.16,6152.32,2092.71
2026-01-01,O0000040,P005,Electronics Product 5,Electronics,North,Retail,4,3205.02,0.0402,3076.16,12304.64,4185.42
2026-01-01,O0000041,P005,Electronics Product 5,Electronics,North,Online,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000042,P005,Electronics Product 5,Electronics,North,Retail,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000043,P005,Electronics Product 5,Electronics,North,Online,2,3205.02,0.0402,3076.16,6152.32,2092.71
2026-01-01,O0000044,P005,Electronics Product 5,Electronics,North,Retail,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000045,P005,Electronics Product 5,Electronics,North,Online,3,3205.02,0.0402,3076.16,9228.48,3139.06
2026-01-01,O0000046,P005,Electronics Product 5,Electronics,North,Online,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000047,P005,Electronics Product 5,Electronics,North,Online,3,3205.02,0.0402,3076.16,9228.48,3139.06
2026-01-01,O0000048,P005,Electronics Product 5,Electronics,North,Retail,3,3205.02,0.0402,3076.16,9228.48,3139.06
2026-01-01,O0000049,P005,Electronics Product 5,Electronics,North,Retail,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000050,P005,Electronics Product 5,Electronics,North,Online,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000051,P005,Electronics Product 5,Electronics,North,Marketplace,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000052,P005,Electronics Product 5,Electronics,North,Marketplace,1,3205.02,0.0402,3076.16,3076.16,1046.35
2026-01-01,O0000053,P006,Electronics Product 6,Electronics,North,Retail,1,592.63,0.0567,559.0,559.0,221.7
2026-01-01,O0000054,P006,Electronics Product 6,Electronics,North,Online,1,592.63,0.0567,559.0,559.0,221.7
2026-01-01,O0000055,P006,Electronics Product 6,Electronics,North,Retail,4,592.63,0.0567,559.0,2236.01,886.79
2026-01-01,O0000056,P006,Electronics Product 6,Electronics,North,Online,2,592.63,0.0567,559.0,1118.01,443.4
2026-01-01,O0000057,P006,Electronics Product 6,Electronics,North,Retail,1,592.63,0.0567,559.0,559.0,221.7
2026-01-01,O0000058,P006,Electronics Product 6,Electronics,North,Online,2,592.63,0.0567,559.0,1118.01,443.4
2026-01-01,O0000059,P006,Electronics Product 6,Electronics,North,Online,1,592.63,0.0567,559.0,559.0,221.7
2026-01-01,O0000060,P006,Electronics Product 6,Electronics,North,Online,1,592.63,0.0567,559.0,559.0,221.7
2026-01-01,O0000061,P006,Electronics Product 6,Electronics,North,Online,4,592.63,0.0567,559.0,2236.01,886.79
2026-01-01,O0000062,P006,Electronics Product 6,Electronics,North,Online,3,592.63,0.0567,559.0,1677.01,665.1
2026-01-01,O0000063,P007,Home Product 1,Home,North,Online,3,4245.99,0.0126,4192.4,12577.2,2879.66
2026-01-01,O0000064,P007,Home Product 1,Home,North,Retail,1,4245.99,0.0126,4192.4,4192.4,959.89
2026-01-01,O0000065,P007,Home Product 1,Home,North,Online,3,4245.99,0.0126,4192.4,12577.2,2879.66
2026-01-01,O0000066,P007,Home Product 1,Home,North,Online,2,4245.99,0.0126,4192.4,8384.8,1919.78
2026-01-01,O0000067,P007,Home Product 1,Home,North,Retail,2,4245.99,0.0126,4192.4,8384.8,1919.78
2026-01-01,O0000068,P007,Home Product 1,Home,North,Online,2,4245.99,0.0126,4192.4,8384.8,1919.78
2026-01-01,O0000069,P007,Home Product 1,Home,North,Retail,1,4245.99,0.0126,4192.4,4192.4,959.89
2026-01-01,O0000070,P007,Home Product 1,Home,North,Retail,1,4245.99,0.0126,4192.4,4192.4,959.89
2026-01-01,O0000071,P007,Home Product 1,Home,North,Online,1,4245.99,0.0126,4192.4,4192.4,959.89
2026-01-01,O0000072,P007,Home Product 1,Home,North,Online,1,4245.99,0.0126,4192.4,4192.4,959.89
2026-01-01,O0000073,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000074,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000075,P008,Home Product 2,Home,North,Marketplace,2,1318.21,0.0651,1232.35,2464.7,526.92
2026-01-01,O0000076,P008,Home Product 2,Home,North,Online,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000077,P008,Home Product 2,Home,North,Online,2,1318.21,0.0651,1232.35,2464.7,526.92
2026-01-01,O0000078,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000079,P008,Home Product 2,Home,North,Marketplace,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000080,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000081,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000082,P008,Home Product 2,Home,North,Online,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000083,P008,Home Product 2,Home,North,Marketplace,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000084,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000085,P008,Home Product 2,Home,North,Retail,1,1318.21,0.0651,1232.35,1232.35,263.46
2026-01-01,O0000086,P008,Home Product 2,Home,North,Online,3,1318.21,0.0651,1232.35,3697.04,790.38
2026-01-01,O0000087,P009,Home Product 3,Home,North,Retail,3,1869.09,0.0501,1775.44,5326.31,1572.69
2026-01-01,O0000088,P009,Home Product 3,Home,North,Online,2,1869.09,0.0501,1775.44,3550.88,1048.46
2026-01-01,O0000089,P009,Home Product 3,Home,North,Online,1,1869.09,0.0501,1775.44,1775.44,524.23
2026-01-01,O0000090,P009,Home Product 3,Home,North,Online,5,1869.09,0.0501,1775.44,8877.19,2621.14
2026-01-01,O0000091,P009,Home Product 3,Home,North,Online,1,1869.09,0.0501,1775.44,1775.44,524.23
2026-01-01,O0000092,P009,Home Product 3,Home,North,Marketplace,3,1869.09,0.0501,1775.44,5326.31,1572.69
2026-01-01,O0000093,P009,Home Product 3,Home,North,Marketplace,2,1869.09,0.0501,1775.44,3550.88,1048.46
2026-01-01,O0000094,P009,Home Product 3,Home,North,Marketplace,2,1869.09,0.0501,1775.44,3550.88,1048.46
2026-01-01,O0000095,P009,Home Product 3,Home,North,Online,2,1869.09,0.0501,1775.44,3550.88,1048.46
2026-01-01,O0000096,P010,Home Product 4,Home,North,Online,1,2443.75,0.0,2443.73,2443.73,610.93
2026-01-01,O0000097,P010,Home Product 4,Home,North,Retail,4,2443.75,0.0,2443.73,9774.94,2443.72
2026-01-01,O0000098,P010,Home Product 4,Home,North,Online,4,2443.75,0.0,2443.73,9774.94,2443.72
2026-01-01,O0000099,P010,Home Product 4,Home,North,Retail,1,2443.75,0.0,2443.73,2443.73,610.93
2026-01-01,O0000100,P010,Home Product 4,Home,North,Online,4,2443.75,0.0,2443.73,9774.94,2443.72
2026-01-01,O0000101,P010,Home Product 4,Home,North,Online,1,2443.75,0.0,2443.73,2443.73,610.93
2026-01-01,O0000102,P011,Home Product 5,Home,North,Retail,1,3253.34,0.063,3048.47,3048.47,620.7
