date,revenue,units_sold,average_selling_price,marketing_spend,conversion_rate,stockout_rate,revenue_dod_pct,revenue_wow_pct,revenue_rolling_7d,revenue_rolling_28d,revenue_rolling_28d_std,revenue_zscore,units_sold_dod_pct,units_sold_wow_pct,units_sold_rolling_7d,units_sold_rolling_28d,units_sold_rolling_28d_std,units_sold_zscore,average_selling_price_dod_pct,average_selling_price_wow_pct,average_selling_price_rolling_7d,average_selling_price_rolling_28d,average_selling_price_rolling_28d_std,average_selling_price_zscore,marketing_spend_dod_pct,marketing_spend_wow_pct,marketing_spend_rolling_7d,marketing_spend_rolling_28d,marketing_spend_rolling_28d_std,marketing_spend_zscore,conversion_rate_dod_pct,conversion_rate_wow_pct,conversion_rate_rolling_7d,conversion_rate_rolling_28d,conversion_rate_rolling_28d_std,conversion_rate_zscore,stockout_rate_dod_pct,stockout_rate_wow_pct,stockout_rate_rolling_7d,stockout_rate_rolling_28d,stockout_rate_rolling_28d_std,stockout_rate_zscore,revenue_materiality,units_sold_materiality,average_selling_price_materiality,marketing_spend_materiality,conversion_rate_materiality,stockout_rate_materiality
2026-01-01,3435615.88,1598,2149.9473591989986,138847.66,0.06913140377384881,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-02,3417198.34,1592,2146.4813693467336,138066.7,0.07939379929048376,0.0,-0.0053607680961120785,,,,,,-0.003754693366708417,,,,,,-0.00161212777486619,,,,,,-0.005624581645812365,,,,,,0.14844766569772783,,,,,,,,,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-03,3464343.92,1615,2145.1045944272446,152197.52,0.07993380299636622,0.0,0.013796559435294675,,,,,,0.014447236180904488,,,,,,-0.0006414101418024121,,,,,,0.10234777828397412,,,,,,0.006801585397200993,,,,,,,,,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-04,3556417.61,1651,2154.0990975166565,154805.92,0.07418806592590477,0.0,0.026577525824860837,,,,,,0.022291021671826616,,,,,,0.004193037072774297,,,,,,0.017138255603639463,,,,,,-0.07188119237517898,,,,,,,,,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-05,3073035.26,1516,2027.0681134564643,142432.59,0.07881429716374623,0.0,-0.13591833215559856,,,,,,-0.0817686250757117,,,,,,-0.05897174563911167,,,,,,-0.07992801567278573,,,,,,0.062358159363015364,,,,,,,,,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-06,3300599.0,1531,2155.8451992161986,147182.32,0.07409020259406153,0.0,0.07405178292682524,,,,,,0.009894459102902431,,,,,,0.06352874129135677,,,,,,0.033347213583632795,,,,,,-0.0599395635016553,,,,,,,,,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-07,3290918.96,1560,2109.5634358974357,140072.79,0.07357369126387692,0.0,-0.0029328131045304184,,3362589.8528571427,,,,0.01894186806009146,,1580.4285714285713,,,,-0.021468036450664196,,2126.8727384371045,,,,-0.04830423925917193,,144800.7857142857,,,,-0.006971385042831679,,0.07558932328689831,,,,,,0.0,,,,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history,insufficient_history
2026-01-08,3315420.2600000002,1554,2133.475070785071,134790.48,0.07296972967313524,0.0,0.007445124081694177,-0.034985174186585644,3345419.0500000003,,,,-0.0038461538461538325,-0.027534418022528206,1574.142857142857,,,,0.01133487359552321,-0.007661717085047481,2124.519554377972,,,,-0.03771117859507189,-0.029220370008396168,144221.1885714286,,,,-0.00820893420415092,0.05552217501387413,0.07613765555822495,,,,,,0.0,,,,low,low,low,low,medium,insufficient_history
2026-01-09,3363822.9,1594,2110.302948557089,139617.48,0.07351978366068887,0.0,0.014599247215796307,-0.015619649399689184,3337793.987142857,,,,0.025740025740025763,0.0012562814070351536,1574.4285714285713,,,,-0.010861210681714084,-0.01685475648952639,2119.35120855088,,,,0.03581113443620043,0.011232107379983702,144442.7285714286,,,,0.0075381118995174745,-0.0739858236069949,0.07529851046825424,,,,,,0.0,,,,low,low,low,low,medium,insufficient_history
2026-01-10,3509781.72,1636,2145.343349633252,156055.46,0.07038359164617441,0.0,0.04339075639208012,0.013115845611540777,3344285.1014285716,,,,0.026348808030112858,0.013003095975232304,1577.4285714285713,,,,0.01660444113018067,0.00011130236102596669,2119.3853164374523,,,,0.11773583078565797,0.02534824483342435,144993.86285714287,,,,-0.04265779710382067,-0.11947650420968914,0.073934194561084,,,,,,0.0,,,,low,low,low,low,high,insufficient_history
2026-01-11,3486191.82,1625,2145.3488123076922,152527.5,0.07004312543788645,0.0,-0.006721187208189261,-0.019746215911915943,3334252.8457142855,,,,-0.00672371638141811,-0.015748031496062964,1573.7142857142858,,,,2.5462937862652524e-06,-0.004062155366506559,2118.1352756933147,,,,-0.022607091094409615,-0.01471791259662425,144668.3742857143,,,,-0.004837295175266543,-0.05587071769950269,0.0733420602056528,,,,,,0.0,,,,low,low,low,low,medium,insufficient_history
