date,kpi,value,z_score,wow_change_pct,materiality,direction
2026-02-11,revenue,3592713.78,1.8030151848984108,0.1055262159364713,high,increase
2026-02-27,revenue,3109483.31,-2.7456723530169413,-0.0822747859468602,medium,decrease
2026-02-28,revenue,3151854.58,-2.046093678482841,-0.0754049421105651,medium,decrease
2026-03-02,revenue,2945478.69,-3.0945144953606825,-0.1487574919564154,high,decrease
2026-03-03,revenue,2940266.23,-2.5987736491756626,-0.1223275091066544,high,decrease
2026-03-18,revenue,3508312.78,1.7288754126686756,0.1571693456464877,high,increase
2026-03-19,revenue,3566971.31,1.8700224667936796,0.1116744564912237,high,increase
2026-03-20,revenue,3620132.41,1.9732338926280109,0.2535261439493168,high,increase
2026-03-21,revenue,3537169.12,1.504298579204133,0.1208232255459884,high,increase
2026-03-22,revenue,3504287.11,1.2973861765667465,0.1511146178103921,high,increase
2026-03-23,revenue,3628663.29,1.771519039863841,0.1499312862600061,high,increase
2026-03-24,revenue,3508030.21,1.1839137195517369,0.2062935623868389,high,increase
2026-03-29,revenue,3885077.24,2.006822160091124,0.1086640786119832,high,increase
2026-04-11,revenue,3103216.33,-1.1743519395806676,-0.1718285629669504,high,decrease
2026-04-12,revenue,2963799.65,-1.6791057561494394,-0.1703450777871843,high,decrease
2026-04-15,revenue,3706471.66,1.1538962340695793,0.2042176315781814,high,increase
2026-04-18,revenue,3612733.52,0.8470614713107749,0.1641900324751126,high,increase
2026-04-20,revenue,3568357.13,0.7216607624078947,0.1148546569979283,high,increase
2026-04-22,revenue,3076485.95,-1.1562671459453209,-0.1699691155874101,high,decrease
2026-04-26,revenue,3555785.93,1.0378884324804014,0.1184480206900429,high,increase
2026-05-06,revenue,2902249.41,-2.0334957357745367,-0.11229362382487,high,decrease
2026-05-07,revenue,3007741.18,-1.4573873853128965,-0.1262237018382002,high,decrease
2026-05-13,revenue,3200016.44,-0.6573361563995836,0.102598704637173,high,decrease
2026-05-14,revenue,2763521.04,-2.5578667050207207,-0.0811971926387629,medium,decrease
2026-05-20,revenue,3939798.38,2.838778941518804,0.2311806685593151,high,increase
2026-05-21,revenue,4307166.63,3.330118721563016,0.5585792789911235,high,increase
2026-05-22,revenue,4014743.95,2.0654454543608205,0.2833031247738995,high,increase
2026-05-23,revenue,4510944.18,2.8909414563049705,0.3598599419173751,high,increase
2026-05-24,revenue,4521539.42,2.481217243812683,0.3768211124729048,high,increase
2026-05-25,revenue,4149628.08,1.5157886184876308,0.2581789621876027,high,increase
2026-05-26,revenue,4177617.57,1.4612208634125543,0.3005292673609885,high,increase
