date,revenue,revenue_change,revenue_wow_pct,units_sold,units_sold_wow_pct,average_selling_price,average_selling_price_wow_pct,volume_effect,price_effect,volume_contribution_pct,price_contribution_pct
2026-01-01,3435615.88,,,1598,,2149.9473591989986,,,,,
2026-01-02,3417198.34,,,1592,,2146.4813693467336,,,,,
2026-01-03,3464343.92,,,1615,,2145.1045944272446,,,,,
2026-01-04,3556417.61,,,1651,,2154.0990975166565,,,,,
2026-01-05,3073035.26,,,1516,,2027.0681134564643,,,,,
2026-01-06,3300599.0,,,1531,,2155.8451992161986,,,,,
2026-01-07,3290918.96,,,1560,,2109.563435897436,,,,,
2026-01-08,3315420.26,-120195.62000000011,-0.0349851741865856,1554,-0.0275344180225282,2133.475070785071,-0.0076617170850474,-94597.68380475594,-25597.9361952438,78.70310399393601,21.296896006063996
2026-01-09,3363822.9,-53375.439999999944,-0.0156196493996891,1594,0.0012562814070351,2110.302948557089,-0.0168547564895263,4292.962738693467,-57668.402738693185,6.92845082676595,93.07154917323405
2026-01-10,3509781.72,45437.80000000028,0.0131158456115407,1636,0.0130030959752323,2145.343349633252,0.0001113023610259,45047.19648297214,390.6035170278228,99.14035556953061,0.859644430469396
2026-01-11,3486191.82,-70225.79000000004,-0.0197462159119159,1625,-0.0157480314960629,2145.348812307692,-0.0040621553665065,-56006.576535433065,-14219.213464567587,79.75214879808765,20.24785120191237
2026-01-12,3336156.75,263121.4900000002,0.0856226719637445,1562,0.0303430079155673,2135.8237836107555,0.0536517097932371,93245.13321899736,169876.35678100292,35.43805305260215,64.56194694739786
2026-01-13,3185512.82,-115086.18000000017,-0.0348682708805281,1528,-0.0019595035924232,2084.7596989528797,-0.0329733787422046,-6467.535597648595,-108618.64440235123,5.619732619197722,94.38026738080228
2026-01-14,3279790.74,-11128.21999999974,-0.003381493174174,1524,-0.0230769230769231,2152.093661417323,0.0201606762784045,-75944.2836923077,64816.06369230733,53.9528958995794,46.04710410042058
2026-01-15,3223601.87,-91818.38999999966,-0.0276943442458181,1566,0.0077220077220077,2058.494169859515,-0.0351449622975742,25601.70084942085,-117420.09084942061,17.900559449940268,82.09944055005974
2026-01-16,3397803.89,33980.99000000022,0.0101018962680823,1541,-0.0332496863237139,2204.934386761843,0.0448425844590028,-111846.05627352573,145827.0462735259,43.40618216179642,56.59381783820358
2026-01-17,3460616.05,-49165.67000000039,-0.0140081845317721,1657,0.0128361858190708,2088.4828304164157,-0.0265041580530952,45052.21034229829,-94217.88034229743,32.34880520350045,67.65119479649955
2026-01-18,3253640.79,-232551.0299999998,-0.0667063208243085,1538,-0.0535384615384615,2115.501163849154,-0.0139127251882323,-186645.34667076918,-45905.68332923084,80.2599526954446,19.740047304555404
2026-01-19,3584436.03,248279.2799999998,0.0744207477661234,1683,0.0774647887323942,2129.789679144385,-0.002825188347781,258434.6778169014,-10155.397816901612,96.21899737250622,3.7810026274937756
2026-01-20,3248205.03,62692.20999999996,0.0196804136547157,1551,0.0150523560209423,2094.2650096711795,0.0045594275076761,47949.473075916234,14742.736924083028,76.48394126784939,23.516058732150615
2026-01-21,3423823.3,144032.5599999996,0.0439151675877953,1596,0.0472440944881888,2145.252694235589,-0.0031787497469922,154950.74362204724,-10918.183622047398,93.41758350798274,6.582416492017261
2026-01-22,3573565.13,349963.2599999998,0.1085628046245053,1684,0.0753512132822478,2122.069554631829,0.0308844133265886,242902.31204342275,107060.9479565768,69.40794643512666,30.592053564873332
2026-01-23,3382727.67,-15076.220000000205,-0.0044370483076938,1576,0.0227125243348476,2146.4008058375634,-0.0265466316257336,77172.70353666451,-92248.9235366648,45.55068019932455,54.44931980067545
2026-01-24,3439545.07,-21070.97999999998,-0.0060887945081339,1636,-0.0126735063367531,2102.41141198044,0.0066692344132164,-43858.13943874473,22787.159438743543,65.80830182691149,34.191698173088525
2026-01-25,3508896.31,255255.52000000002,0.0784522743827538,1656,0.0767230169050714,2118.898737922705,0.0016060374400215,249629.1373342002,5626.382665800313,97.79578413591202,2.2042158640879936
2026-01-26,3509525.05,-74910.97999999998,-0.0208989585455092,1626,-0.033868092691622,2158.3794895448955,0.0134237716899803,-121398.01171122995,46487.031711230054,72.31020062087859,27.68979937912142
