feature,importance,importance_pct
revenue_lag1,0.2537624642922199,25.37624642922199
closing_stock_lag1,0.22394840620775006,22.394840620775007
closing_stock_lag7,0.2131339722487438,21.313397224874382
revenue_rolling7,0.0740334905452142,7.40334905452142
sales_units_lag1,0.04269971432804224,4.2699714328042235
stockout_hours_lag7,0.023475152892580974,2.3475152892580975
marketing_spend_lag1,0.02010779866611509,2.010779866611509
marketing_spend_lag7,0.01971436035338564,1.971436035338564
marketing_clicks_lag1,0.019449351405853518,1.9449351405853517
marketing_conversions_lag7,0.018293913836627203,1.8293913836627202
marketing_conversions_lag1,0.016247782328286487,1.6247782328286486
marketing_clicks_lag7,0.015866823245265067,1.5866823245265067
marketing_conversion_rate_lag7,0.014896527467059788,1.4896527467059788
sales_units_lag7,0.012423089074555109,1.242308907455511
revenue_lag7,0.011409464965478393,1.1409464965478393
marketing_conversion_rate_lag1,0.01046626398426486,1.046626398426486
stockout_hours_lag1,0.010071424158557626,1.0071424158557627
